,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
ice_cream_description,,Donate to the beach event to increase a global experience boost,Dona al evento de playa para aumentar una bonificación global de experiencia,Lahjoita rantatapahtumaan nostaaksesi maailmanlaajuista kokemustehostetta,"Spende beim Strandevent, um einen globalen Erfahrungsbonus zu erhöhen",,Doe para o evento da praia para aumentar um bônus global de experiência,Donnez à l'événement de plage pour augmenter un bonus global d'expérience,,,Küresel deneyim bonusunu artırmak için plaj etkinliğine bağış yap,"Przekaż na wydarzenie plażowe, by zwiększyć globalny bonus do doświadczenia",,,,,,,,,,,,,,,
loadout_equip_failure,,Loadout couldn't be equipped.<br><br>Make sure you have enough space in your inventory to switch equipment.,No se pudo equipar la configuración.<br><br>Asegúrate de tener suficiente espacio en tu inventario para cambiar de equipo.,"Varustuksen vaihtaminen epäonnistui.<br><br>Varmista, että varastossasi on riittävästi tilaa.","Ausrüstung konnte nicht angelegt werden.<br><br>Stelle sicher, dass genügend Platz im Inventar ist.",,Não foi possível equipar o conjunto.<br><br>Certifique-se de que há espaço suficiente no seu inventário para trocar os equipamentos.,Impossible d'équiper la configuration.<br><br>Assurez-vous d'avoir suffisamment d'espace dans votre inventaire pour changer d'équipement.,,,Donanım kuşanılamadı.<br><br>Ekipman değiştirmek için envanterinde yeterli alan olduğundan emin ol.,"Nie można założyć wyposażenia.<br><br>Upewnij się, że masz wystarczająco dużo miejsca w ekwipunku, aby zmienić wyposażenie.",,,,,,,,,,,,,,,
ancient_tribe,,Ancient tribe,Tribu antigua,Muinaisheimo,Uralter Stamm,,Tribo antiga,Tribu ancienne,,,Antik kabile,Starożytne plemię,,,,,,,,,,,,,,,
quest_extreme_ancient_tribe,,Raiders of the Lost keys,Cazadores de las llaves perdidas,Kadonneiden avainten ryöstäjät,Räuber der verlorenen Schlüssel,,Caçadores das chaves perdidas,Pilleurs des clés perdues,,,Kayıp anahtarların yağmacıları,Łowcy zaginionych kluczy,,,,,,,,,,,,,,,
sobek_key,,Ancient key,Llave antigua,Muinaisavain,Uralter Schlüssel,,Chave antiga,Clé ancienne,,,Antik anahtar,Starożytny klucz,,,,,,,,,,,,,,,
sobek_key_description,,Grants access to fight Sobek in the Valley of Gods once,Permite luchar contra Sobek en el Valle de los Dioses,Antaa pääsyn taisteluun Sobekia vastaan Jumalten laaksossa,Gewährt Zugang zum Kampf gegen Sobek im Tal der Götter,,Concede acesso para lutar contra Sobek no Vale dos Deuses,Permet d'affronter Sobek dans la Vallée des Dieux,,,Tanrılar Vadisi'nde Sobek ile savaşmaya erişim sağlar,Zapewnia dostęp do walki z Sobkiem w Dolinie Bogów,,,,,,,,,,,,,,,
sobek,,Sobek,Sobek,Sobek,Sobek,,Sobek,Sobek,,,Sobek,Sobek,,,,,,,,,,,,,,,
upgrade_skilling_ticket_boost,,Through the wetlands,A través de los pantanos,Läpi kosteikkojen,Durch die Feuchtgebiete,,Pelos pântanos,À travers les marécages,,,Sulak alanlardan geçiş,Przez mokradła,,,,,,,,,,,,,,,
upgrade_skilling_ticket_boost_desc,,Permanently raises your chance of receiving skilling tickets by 30%,Aumenta permanentemente en un 30% tu probabilidad de recibir tickets de habilidades,Nostaa pysyvästi taitolippujen saamisen mahdollisuutta 30%:lla,"Erhöht dauerhaft deine Chance, Fähigkeitstickets zu erhalten, um 30 %",,Aumenta permanentemente em 30% sua chance de receber bilhetes de habilidades,Augmente définitivement de 30 % vos chances de recevoir des tickets de compétence,,,Yetenek bileti alma şansını kalıcı olarak %30 artırır,Trwale zwiększa twoją szansę na zdobycie biletów umiejętności o 30%,,,,,,,,,,,,,,,
primeval_fang,,Primeval fang,Colmillo primigenio,Muinaishammas,Urzeitlicher Fangzahn,,Presa primeva,Croc primitif,,,İlkel diş,Pierwotny kieł,,,,,,,,,,,,,,,
primeval_fang_description,,One of the item requirements to smith a Primeval fangblade,Uno de los objetos necesarios para forjar una Espada Colmillo Primigenio,Yksi tarvittavista esineistä Muinaishammasterän takomiseen,Ein Gegenstand zur Herstellung einer Urzeitlichen Fangzahnklinge,,Um dos itens necessários para forjar uma Lâmina da presa primeva,Un des objets nécessaires pour forger une Lame à croc primitif,,,İlkel Dişkılıcı yapmak için gerekli eşyalardan biri,Przedmiot potrzebny do wykucia Ostrza Pierwotnego Kła,,,,,,,,,,,,,,,
primeval_fangblade,,Primeval fangblade,Espada Colmillo Primigenio,Muinaishammasterä,Urzeitliche Fangzahnklinge,,Lâmina da presa primeva,Lame à croc primitif,,,İlkel Dişkılıcı,Ostrze Pierwotnego Kła,,,,,,,,,,,,,,,
primeval_fangblade_description,,Highly effective against Sobek,Muy eficaz contra Sobek,Erityisen tehokas Sobekia vastaan,Sehr effektiv gegen Sobek,,Altamente eficaz contra Sobek,Très efficace contre Sobek,,,Sobek’e karşı çok etkili,Bardzo skuteczne przeciwko Sobkowi,,,,,,,,,,,,,,,
cooking_hat,,Cooking cap,Gorro de cocina,Kokin päähine,Kochmütze,,Chapéu de cozinheiro,Toque de cuisine,,,Aşçı şapkası,Czapka kucharska,,,,,,,,,,,,,,,
cooking_jacket,,Cooking jacket,Chaqueta de cocina,Kokin takki,Kochjacke,,Jaqueta de cozinheiro,Veste de cuisine,,,Aşçı ceketi,Kurtka kucharska,,,,,,,,,,,,,,,
cooking_pants,,Cooking pants,Pantalones de cocina,Kokin housut,Kochhose,,Calças de cozinheiro,Pantalon de cuisine,,,Aşçı pantolonu,Spodnie kucharskie,,,,,,,,,,,,,,,
sobek_upgrade_item,,Sobek's talisman,Talismán de Sobek,Sobekin talismaani,Sobeks Talisman,,Talismã de Sobek,Talisman de Sobek,,,Sobek'in tılsımı,Talizman Sobka,,,,,,,,,,,,,,,
immunity_value,,Immunity: {0},Inmunidad: {0},Immuniteetti: {0},Immunität: {0},,Imunidade: {0},Immunité : {0},,,Bağışıklık: {0},Odporność: {0},,,,,,,,,,,,,,,
sobeks_blessing,,Sobek's blessing,Bendición de Sobek,Sobekin siunaus,Sobeks Segen,,Benção de Sobek,Bénédiction de Sobek,,,Sobek'in kutsaması,Błogosławieństwo Sobka,,,,,,,,,,,,,,,
arrow_of_sobek,,Arrow of Sobek,Flecha de Sobek,Sobekin nuoli,Sobeks Pfeil,,Flecha de Sobek,Flèche de Sobek,,,Sobek'in oku,Strzała Sobka,,,,,,,,,,,,,,,
arrow_of_sobek_desc,,A rare type of ammunition that does not get consumed when shot,Un tipo raro de munición que no se consume al dispararse,"Harvinainen ammuksia, jota ei kuluteta ammuttaessa","Eine seltene Munition, die beim Abschuss nicht verbraucht wird",,Um tipo raro de munição que não é consumida ao ser disparada,Un type rare de munition qui ne se consomme pas au tir,,,Ateş edildiğinde tüketilmeyen nadir bir mühimmat türü,"Rzadka amunicja, która nie zużywa się po wystrzeleniu",,,,,,,,,,,,,,,
white_block_of_mass_destruction,,White block of mass destruction,Bloque blanco de destrucción masiva,Valkoinen joukkotuhoase,Weißer Block der Massenvernichtung,,Bloco branco da destruição em massa,Bloc blanc de destruction massive,,,Beyaz kitlesel imha bloğu,Biały blok masowej zagłady,,,,,,,,,,,,,,,
white_block_of_mass_destruction_desc,,"I am become death, the destroyer of worlds","Me he convertido en la muerte, destructora de mundos","Minusta on tullut kuolema, maailmojen tuhoaja","Ich bin der Tod geworden, Zerstörer der Welten",,"Eu me tornei a morte, o destruidor de mundos","Je suis devenu la mort, le destructeur des mondes",,,"Ölüm oldum, dünyaların yok edicisi","Stałem się śmiercią, niszczycielem światów",,,,,,,,,,,,,,,
divine_hide_buckler,,Divine hide buckler,Rodela de piel divina,Jumalainen nahkakilpi,Göttlicher Leder-Buckler,,Broquel de couro divino,Bouclier en cuir divin,,,İlahi deri kalkan,Boska skórzana puklerz,,,,,,,,,,,,,,,
blessed_crocodile_hide,,Blessed crocodile hide,Piel de cocodrilo bendita,Siunattu krokotiilinnahka,Gesegnete Krokodilhaut,,Couro de crocodilo abençoado,Cuir de crocodile béni,,,Kutsanmış timsah derisi,Błogosławiona skóra krokodyla,,,,,,,,,,,,,,,
blessed_crocodile_hide_desc,,Used to enhance the Divine buckler with the Smithing skill,Usada para mejorar la rodela divina con la habilidad Herrería,Käytetään jumalaisen kilven parantamiseen Sepäntaidolla,"Verwendet, um den göttlichen Buckler mit der Schmiedekunst zu verbessern",,Usado para melhorar o broquel divino com a habilidade de Ferraria,Utilisé pour améliorer le bouclier divin avec la compétence de Forge,,,Demircilik yeteneği ile İlahi kalkanı geliştirmede kullanılır,Używana do ulepszenia Boskiej puklerzy za pomocą kowalstwa,,,,,,,,,,,,,,,
raw_apex_meat,,Raw apex meat,Carne suprema cruda,Raaka huippuliha,Rohes Spitzenfleisch,,Carne suprema crua,Viande suprême crue,,,Çiğ zirve eti,Surowe mięso szczytowe,,,,,,,,,,,,,,,
cooked_apex_meat,,Apex meat,Carne suprema,Huippuliha,Spitzenfleisch,,Carne suprema,Viande suprême,,,Zirve eti,Mięso szczytowe,,,,,,,,,,,,,,,
sobek_upgrade_item_description,,Used to purchase the <b>Through the wetlands</b> upgrade,Se usa para comprar la mejora <b>A través de los pantanos</b>,Käytetään <b>Läpi kosteikkojen</b> -päivityksen ostamiseen,"Wird verwendet, um das Upgrade <b>Durch die Feuchtgebiete</b> zu kaufen",,Usada para comprar a melhoria <b>Pelos pântanos</b>,Utilisée pour acheter l'amélioration <b>À travers les marécages</b>,,,<b>Sulak alanlardan geçiş</b> geliştirmesini satın almak için kullanılır,Używane do zakupu ulepszenia <b>Przez mokradła</b>,,,,,,,,,,,,,,,
missing_ancient_key,,You don't have the required item.<br><br>The Ancient Tribe is known to plunderers to hold treasures such as the item you seek.,No tienes el objeto requerido.<br><br>La Tribu Antigua es conocida por tener saqueadores que guardan tesoros como el objeto que buscas.,"Tarvittava esine puuttuu.<br><br>Muinaisheimo tunnetaan ryöväreistä, jotka pitävät hallussaan etsimääsi esinettä.","Du hast den erforderlichen Gegenstand nicht.<br><br>Der Uralte Stamm hat Plünderer, die Schätze wie den gesuchten Gegenstand bewahren.",,Você não possui o item necessário.<br><br>A Tribo Antiga é conhecida por saqueadores que guardam tesouros como o item que você procura.,Vous n'avez pas l'objet requis.<br><br>La Tribu Ancienne est connue pour ses pillards qui gardent des trésors tels que l'objet que vous recherchez.,,,"Gerekli öğeye sahip değilsin.<br><br>Antik Kabile, aradığın eşya gibi hazineleri koruyan yağmacılarıyla bilinir.","Nie masz wymaganego przedmiotu.<br><br>Starożytne plemię słynie z grabieżców przechowujących skarby takie jak przedmiot, którego szukasz.",,,,,,,,,,,,,,,
nagas_blessed_crown,,Naga's blessed crown,Corona bendita de Naga,Nagan siunattu kruunu,Nagas gesegnete Krone,,Coroa abençoada de Naga,Couronne bénie de Naga,,,Naga'nın kutsanmış tacı,Błogosławiona korona Nagi,,,,,,,,,,,,,,,
sobeks_charm,,Sobek's charm,Amuleto de Sobek,Sobekin amuletti,Sobeks Amulett,,Amuleto de Sobek,Charme de Sobek,,,Sobek'in nazarlığı,Amulet Sobka,,,,,,,,,,,,,,,
sobeks_charm_description,,Used to enhance Naga's crown with the Smithing skill,Usada para mejorar la Corona de naga con la habilidad Herrería,Käytetään Nagan kruunun parantamiseen Sepäntaidolla,"Wird verwendet, um die Nagakrone mit der Schmiedekunst zu verbessern",,Usado para aprimorar a Coroa de Naga com a habilidade de Ferraria,Utilisée pour améliorer la Couronne de naga avec la compétence de Forge,,,Demircilik yeteneği ile Naga'nın tacını geliştirmede kullanılır,Używana do ulepszenia Korony Nagi za pomocą kowalstwa,,,,,,,,,,,,,,,
invite_to_party,,Invite to party,Invitar al grupo,Kutsu ryhmään,Zur Gruppe einladen,,Convidar para o grupo,Inviter dans le groupe,,,Partiye davet et,Zaproś do drużyny,,,,,,,,,,,,,,,
no_party_to_invite_player_to,,You don't have a combat or raid party to invite that player to.,No tienes un grupo de combate o incursión al que invitar a ese jugador.,"Sinulla ei ole taistelu- tai hyökkäysryhmää, johon voisit kutsua tuon pelaajan.","Du hast keine Kampf- oder Raid-Gruppe, zu der du diesen Spieler einladen kannst.",,Você não tem um grupo de combate ou raid para convidar esse jogador.,Vous n'avez pas de groupe de combat ou de raid pour inviter ce joueur.,,,Bu oyuncuyu davet edebileceğin bir savaş veya baskın partin yok.,"Nie masz drużyny do walki ani rajdu, do której mógłbyś zaprosić tego gracza.",,,,,,,,,,,,,,,
placeholders_toggled_on,,Inventory placeholders are now active,Los marcadores de inventario ahora están activos,Tavaraluettelon paikkamerkit ovat nyt aktiivisia,Inventar-Platzhalter sind jetzt aktiv,,Marcadores de inventário agora estão ativos,Les espaces réservés d'inventaire sont maintenant actifs,,,Envanter yer tutucuları şimdi aktif,Miejsca zastępcze w ekwipunku są teraz aktywne,,,,,,,,,,,,,,,
placeholders_toggled_off,,Inventory placeholders are now inactive,Los marcadores de inventario ahora están inactivos,Tavaraluettelon paikkamerkit ovat nyt poissa käytöstä,Inventar-Platzhalter sind jetzt inaktiv,,Marcadores de inventário agora estão inativos,Les espaces réservés d'inventaire sont maintenant inactifs,,,Envanter yer tutucuları şimdi devre dışı,Miejsca zastępcze w ekwipunku są teraz nieaktywne,,,,,,,,,,,,,,,
join_party,,Join party,Unirse al grupo,Liity ryhmään,Gruppe beitreten,,Entrar no grupo,Rejoindre le groupe,,,Partiye katıl,Dołącz do drużyny,,,,,,,,,,,,,,,
player_doesnt_have_party_to_join,,That player doesn't have an open combat or raid party.,Ese jugador no tiene un grupo de combate o incursión abierto.,Tällä pelaajalla ei ole avointa taistelu- tai hyökkäysryhmää.,Dieser Spieler hat keine offene Kampf- oder Raid-Gruppe.,,Esse jogador não tem um grupo de combate ou raid aberto.,Ce joueur n'a pas de groupe de combat ou de raid ouvert.,,,Bu oyuncunun açık bir savaş veya baskın partisi yok.,Ten gracz nie ma otwartej drużyny walki ani rajdu.,,,,,,,,,,,,,,,
griffin_key_desc,,Grants access to fight Griffin in the Valley of Gods once,Otorga acceso para luchar contra el Grifo en el Valle de los Dioses una vez,Antaa pääsyn taistella Griffiniä vastaan Jumalten Laaksossa kerran,"Gewährt einmaligen Zugang, um den Greif im Tal der Götter zu bekämpfen",,Concede acesso para lutar contra o Grifo no Vale dos Deuses uma vez,Donne accès pour combattre le Griffon dans la Vallée des Dieux une fois,,,Tanrılar Vadisi’nde Griffin ile savaşma erişimini bir kez verir,Daje dostęp do jednorazowej walki z Gryfem w Dolinie Bogów,,,,,,,,,,,,,,,
devil_key_desc,,Grants access to fight Devil in the Valley of Gods once,Otorga acceso para luchar contra el Diablo en el Valle de los Dioses una vez,Antaa pääsyn taistella Paholaista vastaan Jumalten Laaksossa kerran,"Gewährt einmaligen Zugang, um den Teufel im Tal der Götter zu bekämpfen",,Concede acesso para lutar contra o Diabo no Vale dos Deuses uma vez,Donne accès pour combattre le Diable dans la Vallée des Dieux une fois,,,Tanrılar Vadisi’nde Şeytan ile savaşma erişimini bir kez verir,Daje dostęp do jednorazowej walki z Diabłem w Dolinie Bogów,,,,,,,,,,,,,,,
hades_key_desc,,Grants access to fight Hades in the Valley of Gods once,Otorga acceso para luchar contra Hades en el Valle de los Dioses una vez,Antaa pääsyn taistella Hadesia vastaan Jumalten Laaksossa kerran,"Gewährt einmaligen Zugang, um Hades im Tal der Götter zu bekämpfen",,Concede acesso para lutar contra Hades no Vale dos Deuses uma vez,Donne accès pour combattre Hadès dans la Vallée des Dieux une fois,,,Tanrılar Vadisi’nde Hades ile savaşma erişimini bir kez verir,Daje dostęp do jednorazowej walki z Hadesem w Dolinie Bogów,,,,,,,,,,,,,,,
zeus_key_desc,,Grants access to fight Zeus in the Valley of Gods once,Otorga acceso para luchar contra Zeus en el Valle de los Dioses una vez,Antaa pääsyn taistella Zeusta vastaan Jumalten Laaksossa kerran,"Gewährt einmaligen Zugang, um Zeus im Tal der Götter zu bekämpfen",,Concede acesso para lutar contra Zeus no Vale dos Deuses uma vez,Donne accès pour combattre Zeus dans la Vallée des Dieux une fois,,,Tanrılar Vadisi’nde Zeus ile savaşma erişimini bir kez verir,Daje dostęp do jednorazowej walki z Zeusem w Dolinie Bogów,,,,,,,,,,,,,,,
medusa_key_desc,,Grants access to fight Medusa in the Valley of Gods once,Otorga acceso para luchar contra Medusa en el Valle de los Dioses una vez,Antaa pääsyn taistella Medusaa vastaan Jumalten Laaksossa kerran,"Gewährt einmaligen Zugang, um Medusa im Tal der Götter zu bekämpfen",,Concede acesso para lutar contra Medusa no Vale dos Deuses uma vez,Donne accès pour combattre Méduse dans la Vallée des Dieux une fois,,,Tanrılar Vadisi’nde Medusa ile savaşma erişimini bir kez verir,Daje dostęp do jednorazowej walki z Meduzą w Dolinie Bogów,,,,,,,,,,,,,,,
chimera_key_desc,,Grants access to fight Chimera in the Valley of Gods once,Otorga acceso para luchar contra la Quimera en el Valle de los Dioses una vez,Antaa pääsyn taistella Kimeraa vastaan Jumalten Laaksossa kerran,"Gewährt einmaligen Zugang, um die Chimäre im Tal der Götter zu bekämpfen",,Concede acesso para lutar contra a Quimera no Vale dos Deuses uma vez,Donne accès pour combattre la Chimère dans la Vallée des Dieux une fois,,,Tanrılar Vadisi’nde Chimera ile savaşma erişimini bir kez verir,Daje dostęp do jednorazowej walki z Chimerą w Dolinie Bogów,,,,,,,,,,,,,,,
previously_selected_items,,Previously selected items,Objetos seleccionados previamente,Aiemmin valitut esineet,Zuvor ausgewählte Gegenstände,,Itens selecionados anteriormente,Objets sélectionnés précédemment,,,Önceden seçilmiş eşyalar,Wcześniej wybrane przedmioty,,,,,,,,,,,,,,,
sku_auto_raid_token,,Auto raid token,Ficha de incursión automática,Automaattinen hyökkäystoken,Auto-Raid-Token,,Token de raid automática,Jeton de raid automatique,,,Otomatik baskın jetonu,Żeton automatycznego rajdu,,,,,,,,,,,,,,,
sku_auto_raid_token_bulk,,Auto raid token x10,Ficha de incursión automática x10,Automaattinen hyökkäystoken x10,Auto-Raid-Token x10,,Token de raid automática x10,Jeton de raid automatique x10,,,Otomatik baskın jetonu x10,Żeton automatycznego rajdu x10,,,,,,,,,,,,,,,
sku_auto_raid_token_desc,,Lets you select <b>1</b> raid that you can fully AFK - even offline. <b>Note</b>: You complete raids much slower this way than manually and you gain no experience.,"Te permite seleccionar <b>1</b> incursión que puedes completar totalmente en AFK, incluso sin conexión. <b>Nota</b>: completas las incursiones mucho más lento de esta manera que manualmente y no ganas experiencia.","Antaa sinun valita <b>1</b> hyökkäyksen, jonka voit suorittaa täysin AFK:na – jopa offline-tilassa. <b>Huom</b>: suoritat hyökkäykset paljon hitaammin näin kuin manuaalisesti etkä saa kokemusta.","Ermöglicht dir, <b>1</b> Raid vollständig AFK abzuschließen – sogar offline. <b>Hinweis</b>: Du schließt Raids auf diese Weise viel langsamer ab als manuell und erhältst keine Erfahrung.",,Permite selecionar <b>1</b> raid que você pode concluir totalmente em AFK – mesmo offline. <b>Nota</b>: você conclui as raids muito mais lentamente desta forma do que manualmente e não ganha experiência.,Vous permet de sélectionner <b>1</b> raid que vous pouvez terminer entièrement en AFK – même hors ligne. <b>Remarque</b> : vous terminez les raids beaucoup plus lentement de cette façon que manuellement et vous ne gagnez pas d'expérience.,,,<b>1</b> baskını tamamen AFK olarak – çevrimdışı olsa bile – tamamlamanı sağlar. <b>Not</b>: Bu şekilde baskınlar manuel yapmaya göre çok daha yavaştır ve deneyim kazandırmaz.,"Pozwala wybrać <b>1</b> rajd, który możesz ukończyć całkowicie AFK – nawet offline. <b>Uwaga</b>: w ten sposób rajdy kończą się znacznie wolniej niż ręcznie i nie dają doświadczenia.",,,,,,,,,,,,,,,
